week_start,metric,count,uniques,collected_at
2026-04-14,clones,199,41,2026-04-29T06:08:17.714871+00:00
2026-04-14,views,1051,284,2026-04-29T06:08:17.714871+00:00
2026-04-16,clones,179,37,2026-05-01T06:22:49.245513+00:00
2026-04-16,views,908,261,2026-05-01T06:22:49.245513+00:00
2026-04-17,clones,176,34,2026-05-02T05:44:25.287140+00:00
2026-04-17,views,805,243,2026-05-02T05:44:25.287140+00:00
2026-04-18,clones,169,29,2026-05-03T06:12:00.825961+00:00
2026-04-18,views,752,231,2026-05-03T06:12:00.825961+00:00
2026-04-19,clones,35,18,2026-05-04T06:22:06.613062+00:00
2026-04-19,views,285,90,2026-05-04T06:22:06.613062+00:00
2026-04-20,clones,5541,600,2026-05-04T06:22:06.613062+00:00
2026-04-20,views,2174,261,2026-05-04T06:22:06.613062+00:00
2026-04-27,clones,5800,474,2026-05-04T06:22:06.613062+00:00
2026-04-27,views,1334,172,2026-05-04T06:22:06.613062+00:00
